laptop_name,price,brand_name,rating,num_to_rate,shiping,save_prec,touch,display,processor,gpu,hdd,ssd
"ASUS ROG Strix Scar Edition 17.3"" Gaming Laptop, 8th-Gen 6-Core Intel Core i7-8750H Processor (Up to 3.9 GHz), GeForce GTX 1070 8 GB, 144 Hz 3 ms Display, 16 GB DDR4, 256 GB PCIe SSD + 1 TB SSHD",1624.0,ASUS,Rating + 3,31,Free Shipping,,0,"17.3""",i7,GTX 1070,,256 GB PCIe SSD
"ASUS GL703VM-NH74 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",1799.0,ASUS,Rating + 4,29,Free Shipping,10%,0,"17.3""",i7,GTX 1060,1 TB HDD,256 GB SSD
"DELL Inspiron 15 i5577-5328BLK-PUS 15.6"" Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",694.0,DELL,Rating + 4,28,Free Shipping,31%,0,"15.6""",i5,GTX 1050,1 TB HDD,
"ASUS ROG Zephyrus GX501 (8th-Gen) 15.6"" Ultra Slim Gaming Laptop, 144 Hz IPS-Type G-SYNC Panel, GTX 1080 8 GB, Intel Core i7-8750H Processor (up to 3.9 GHz), 512 GB PCIe SSD, 16 GB DDR4 2666 MHz",1567.0,ASUS,Rating + 3,26,Free Shipping,17%,0,"15.6""",i7,GTX 1080,,512 GB PCIe SSD
"Lenovo Legion Y520 (80WK00HSUS) 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",1399.0,Lenovo,Rating + 3,26,Free Shipping,,0,"15.6""",i7,GTX 1050,,256 GB SSD
"Acer Predator G9-593-71EH Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD (2 x 128 GB in Raid 0) 1 TB HDD 15.6"" Full HD (1920 x 1080) IPS Display with G-SYNC",1701.0,Acer America,Rating + 3,25,$22.99 Shipping,,0,"15.6""",i7,GTX 1070,1 TB HDD,256 GB SSD
"Razer Blade RZ09-01021101-R3U1 14.0"" Intel Core i7 4th Gen 4702HQ (2.20 GHz) NVIDIA GeForce GTX 765M 8 GB Memory 256 GB SSD Windows 8.1 Gaming Laptop",3799.0,RAZER,Rating + 5,24,Free Shipping,,0,"14.0""",R3,GTX 765,,256 GB SSD
"Lenovo Legion Y720 80VR001BUS 15.6"" FHD GTX 1060 6 GB VRAM i7-7700HQ 16 GB Memory 1 TB HDD + 128 GB SSD Windows 10 Home VR Ready Gaming Laptop",1577.0,Lenovo,Rating + 4,24,Special Shipping,,0,"15.6""",R0,GTX 1060,1 TB HDD,128 GB SSD
"MSI GL62M 15.6"" IPS GTX 1050 i5-7300HQ 8 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop English Version",999.0,MSI,Rating + 4,24,$9.99 Shipping,,0,"15.6""",i5,GTX 1050,,256 GB SSD
"AORUS 15-X9-RT4AD Core i7-8750H NVIDIA GeForce RTX 2070 16 GB Memory 512 GB Intel SSD 1 TB HDD Win10 15.6"" FHD LG IPS 144 Hz Gaming Laptop -- ONLY @ NEWEGG",2499.0,AORUS,Rating + 4,23,Free Shipping,,0,"15.6""",i7,RTX 2070,1 TB HDD,
"MSI GE Series GE63 Raider RGB-052 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 256 GB NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",2299.0,MSI,Rating + 4,23,Special Shipping,23%,0,"15.6""",i7,RTX 2070,1 TB HDD,256 GB NVMe SSD
"ASUS ROG Strix Scar II Gaming Laptop, 15.6"" 144 Hz IPS-Type Full HD, NVIDIA GeForce RTX 2070 8 GB, Intel Core i7-8750H Processor, 16 GB DDR4, 512 GB PCIe NVMe SSD, RGB KB, Windows 10 - GL504GW-DS74",1635.0,ASUS,Rating + 4,20,Free Shipping,,0,"15.6""",i7,RTX 2070,,
"ASUS ROG GL771JM-DH71 17.3"" Intel Core i7 4th Gen 4710HQ (2.50 GHz) NVIDIA GeForce GTX 860M 12 GB Memory 1 TB HDD Windows 8.1 64-Bit Gaming Laptop",1299.0,ASUS,Rating + 2,20,Free Shipping,,0,"17.3""",i7,GTX 860,1 TB HDD,
"ASUS VivoBook M580VD-EB76 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB DDR4 Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1866.0,ASUS,Rating + 4,20,Free Shipping,,0,"15.6""",i7,GTX 1050,1 TB HDD,256 GB SSD
"ASUS ROG Zephyrus  GX701GX-XB78 17.3"" 144 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2080 32 GB Memory 1 TB SSD Windows 10 Pro 64-bit Gaming Laptop",3219.0,ASUS,Rating + 4,18,Free Shipping,,0,"17.3""",i7,RTX 2080,,1 TB SSD
"Acer Aspire 7 A715-72G-79BH 15.6"" IPS GTX 1050 4 GB GDDR5 VRAM i7-8750H 8 GB Memory 1 TB HDD Windows 10 Home Gaming Laptop",749.0,Acer America,Rating + 4,18,Free Shipping,25%,0,"15.6""",R5,GTX 1050,1 TB HDD,
"Acer Predator Helios 500 PH517-61-R0GX 17.3"" FHD IPS RX Vega 56 8 GB VRAM AMD Ryzen 7 2700 16 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop",1695.0,Acer America,Rating + 4,18,Free Shipping,,0,"17.3""",R0,,,256 GB SSD
"MSI GE63 Raider RGB-010 Gaming Laptop GTX 1070 8 GB i7-8750H 15.6"" Windows 10 Home 64-Bit",1529.0,MSI,Rating + 4,17,Free Shipping,23%,0,"15.6""",i7,GTX 1070,,
"ASUS ROG GL503VD-DB74 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1349.0,ASUS,Rating + 3,17,$23.99 Shipping,,0,"15.6""",i7,GTX 1050,1 TB HDD,256 GB SSD
"ASUS ROG GL503VD-DB71 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 1 TB SSHD (8 GB SSD Cache) Windows 10 Home 64-Bit Gaming Laptop",1047.0,ASUS,Rating + 3,17,Free Shipping,,0,"15.6""",i7,GTX 1050,,8 GB SSD
"ASUS ROG Zephyrus M GM501GM-WS74 15.6"" Ultra Slim 144 Hz IPS-Type G-SYNC Panel GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 256 GB PCIe SSD + 1 TB SSHD Windows 10 Home VR Ready Gaming Laptop",2616.0,ASUS,Rating + 4,15,Free Shipping,25%,0,"15.6""",i7,GTX 1060,,256 GB PCIe SSD
"Acer Nitro 5 AN515-51-522L 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",949.0,Acer America,Rating + 4,15,Free Shipping,,0,"15.6""",i5,GTX 1050,1 TB HDD,
"ASUS K570UD-ES54 15.6"" FHD GeForce GTX 1050 Core i5-8250U 8 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop With Fingerprint Reader and Backlit Keyboard",944.0,ASUS,Rating + 3,15,Free Shipping,,0,"15.6""",i5,GTX 1050,,256 GB SSD
"ASUS TUF Gaming Laptop, 15.6"" 120 Hz Full HD IPS-Type, AMD Ryzen 7 R7-3750H, GeForce GTX 1650, 8 GB DDR4, 512 GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-EB73",879.0,ASUS,Rating + 4,14,Free Shipping,,0,"15.6""",R7,GTX 1650,,512 GB PCIe SSD
"Acer Nitro 5 AN515-51-55WL 15.6"" IPS GTX 1050 Ti 4 GB VRAM i5-7300HQ 8 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop",749.0,Acer America,Rating + 4,13,$5.28 Shipping,25%,0,"15.6""",i5,GTX 1050,,256 GB SSD
"MSI GT Series GT83 TITAN-016 18.4"" IPS GTX 1070 SLI 16 GB VRAM i7-8850H 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",2499.0,MSI,Rating + 4,13,Free Shipping,,0,"18.4""",i7,GTX 1070,1 TB HDD,512 GB SSD
"MSI GL Series GL63 8SE-209 15.6"" 120 Hz Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 256 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1586.0,MSI,Rating + 4,13,Free Shipping,,0,"15.6""",i5,RTX 2060,,256 GB NVMe SSD
"MSI PL62 7RC-001 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce MX150 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",2303.0,MSI,Rating + 3,13,Free Shipping,,0,"15.6""",i7,,1 TB HDD,
"ASUS GL503VM-IH73 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1349.0,ASUS,Rating + 4,13,Free Shipping,,0,"15.6""",i7,GTX 1060,1 TB HDD,
"ASUS VivoBook Pro 17 N705UD-EH76 17.3"" Thin and Portable FHD Laptop, GTX 1050, Intel Core i7-8550U 1.80 GHz Processor, 16 GB DDR4 RAM, 256 GB SSD + 1 TB HDD, 802.11ac Wi-Fi, USB-C, Backlit Keyboard",1327.0,ASUS,Rating + 4,13,Free Shipping,,0,"17.3""",i7,GTX 1050,1 TB HDD,256 GB SSD
"Acer Predator 17 G9-793-79V5 Gaming Laptop Intel Core i7-7700HQ , GeForce GTX 1070, 17.3"" Full HD G-SYNC, 16 GB DDR4, 1 TB HDD, 256 GB SSD, Windows 10 Home",2099.0,Acer America,Rating + 3,13,Free Shipping,,0,"17.3""",i7,GTX 1070,1 TB HDD,256 GB SSD
"ASUS FX503VD-EH73 15.6” FHD Powerful Gaming Laptop, Intel Core i7-7700HQ Quad-Core 2.8GHz Processor, GTX 1050 4GB, 128GB SSD + 1TB HDD, 8GB DDR4, Windows 10 Home",1597.0,ASUS,Rating + 4,13,Free Shipping,,0,15.6”,i7,GTX 1050,1TB HDD,128GB SSD
"ASUS ROG G703GX Gaming Laptop, GeForce RTX 2080, Intel Core i7-8750H, 17.3"" Full HD 144 Hz 3 ms G-SYNC, 16 GB DDR4, 512 GB PCIe SSD + 1 TB SSHD, Per-Key RGB, Windows 10 Pro, G703GX-XS71",2599.0,ASUS,Rating + 4,12,Free Shipping,13%,0,"17.3""",i7,RTX 2080,,512 GB PCIe SSD
"Refurbished: ASUS ROG GL551 series GL551JM-DH71 15.6"" Intel Core i7 4th Gen 4710HQ (2.50 GHz) NVIDIA GeForce GTX 860M 16 GB Memory 1 TB HDD Windows 8.1 64-Bit Gaming Laptop",1299.0,ASUS,Rating + 3,11,Free Shipping,,0,"15.6""",i7,GTX 860,1 TB HDD,
"Refurbished: Acer Predator 17 G9-793-78CM 17.3"" Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop (Manufacturer Recertified)",1349.0,Acer America,Rating + 4,11,Free Shipping,33%,0,"17.3""",i7,GTX 1070,1 TB HDD,256 GB SSD
AERO 15 OLED SA-7US5020SH UHD AMOLED i7-9750H NVIDIA GeForce GTX 1660 Ti 6 GB GDDR6 8 GB RAM 256 GB M.2 PCIe SSD Win 10 Gaming Laptop,1399.0,GIGABYTE,Rating + 5,10,Free Shipping,18%,0,,i7,GTX 1660,,
"GIGABYTE AERO 15 Classic-WA-U74ADP 15.6"" 4K/UHD 60 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Pro 64-bit Gaming Laptop",2300.0,GIGABYTE,Rating + 4,10,Free Shipping,5%,0,"15.6""",i7,RTX 2060,,512 GB SSD
"MSI GS75 Stealth-202 17.3"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop",2199.0,MSI,Rating + 4,10,Special Shipping,40%,0,"17.3""",i7,RTX 2080,,256 GB NVMe SSD
"ASUS ROG Strix Hero Edition 15.6"" Gaming Laptop, 8th-Gen Intel Core i5-8300H Processor (Up to 3.9 GHz), GeForce GTX 1050 Ti 4 GB, 120 Hz 3 ms Display, 8 GB DDR4, 128 GB PCIe SSD + 1 TB SSHD, RGB KB",1099.0,ASUS,Rating + 3,10,Special Shipping,23%,0,"15.6""",i5,GTX 1050,,128 GB PCIe SSD
"ASUS ROG Zephyrus S GX701 Gaming Laptop, 17.3"" 144 Hz Pantone Validated FHD IPS, GeForce RTX 2080, Intel Core i7-8750H CPU, 16 GB DDR4, 1 TB PCIe NVMe SSD Hyper Drive, Windows 10 Pro - GX701GX-XS76",2799.0,ASUS,Rating + 4,9,Free Shipping,15%,0,"17.3""",i7,RTX 2080,,
"MSI GL Series GL73 8SE-028 17.3"" 120 Hz Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 256 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1499.0,MSI,Rating + 3,9,Free Shipping,,0,"17.3""",i5,RTX 2060,,256 GB NVMe SSD
"Acer Predator Helios 500 PH517-51-72NU 17.3"" 144 Hz IPS GTX 1070 8 GB VRAM i7-8750H 16 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",2375.0,Acer America,Rating + 4,9,$21.99 Shipping,,0,"17.3""",i7,GTX 1070,1 TB HDD,256 GB SSD
"MSI GF Series GF63 THIN 8SC-030 15.6"" IPS Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1650 8 GB Memory 256 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop -- ONLY @ NEWEGG",1108.0,MSI,Rating + 4,9,Free Shipping,,0,"15.6""",i5,GTX 1650,,256 GB NVMe SSD
"The Razer Blade GeForce GTX 1060 VR Ready, 14"" HD Gaming Laptop, Intel Core i7 7th Gen i7 7700HQ (2.80GHz), 16 GB RAM, 512 GB SSD",1899.0,RAZER,Rating + 3,9,Free Shipping,37%,0,,i7,GTX 1060,,512 GB SSD
