laptop_name,price,brand_name,rating,num_to_rate,shiping,save_prec,touch,display,processor,gpu,hdd,ssd
"ASUS TUF Gaming FX504GM-ES74 15.6"" 120 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1299.0,ASUS,Rating + 4,6,$5.28 Shipping,21%,0,"15.6""",i7,GTX 1060,1 TB HDD,
"Refurbished: Lenovo Laptop Y40 14” Full HD Gaming Notebook with Intel Core i7 4510U 2.00Ghz (3.10Ghz), 8GB Memory, 1TB HDD + 8GB SSD, Radeon R9 M275 2GB, Windows 8.1 64-Bit",849.0,Lenovo,Rating + 4,6,Free Shipping,,0,,i7,,1TB HDD,8GB SSD
"ASUS VivoBook R510IK-LHFX 15.6"" AMD FX-Series FX-9830P (3.0 GHz) AMD Radeon RX 560 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",589.0,ASUS,Rating + 3,5,Free Shipping,,0,"15.6""",R5,,1 TB HDD,
"Refurbished: Acer Predator Helios 500 PH517-51-72NU 17.3"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-bit Grade A Gaming",1399.0,Acer America,Rating + 4,5,Free Shipping,30%,0,"17.3""",i7,GTX 1070,1 TB HDD,
"HP Omen X 17-ap010nr 17.3"" FHD IPS GTX 1070 8 GB VRAM i7-7700HQ 16 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",1899.0,HP,Rating + 5,5,Free Shipping,5%,0,"17.3""",i7,GTX 1070,1 TB HDD,256 GB SSD
"ASUS TUF Gaming FX504GD-RS51 15.6"" Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 1 TB FireCuda SSHD (8 GB SSD Cache) Windows 10 Home 64-Bit Gaming Laptop",968.0,ASUS,Rating + 3,5,$13.99 Shipping,,0,"15.6""",i5,GTX 1050,,8 GB SSD
"ASUS ROG Strix GL703GE-DB71-CA 17.3"" 120 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD 1 TB SSHD HDD Windows 10 Home 64-Bit Gaming Laptop",1671.0,ASUS,Rating + 5,5,Free Shipping,,0,"17.3""",i7,GTX 1050,,256 GB SSD
"MSI GT75 TITAN 17.3"" FHD Gaming Laptop - Intel Core i9-8950HK, RTX2080, 16GB DDR4, 256GB NVMe SSD, Mechanical  Keyboard, Win10, VR Ready, GT75 TITAN-013",3399.0,MSI,Rating + 3,5,Special Shipping,23%,0,"17.3""",i9,RTX2080,,256GB NVMe SSD
"MSI GP Series GP65 Leopard 9SF-240 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1599.0,MSI,Rating + 3,4,Free Shipping,6%,0,"15.6""",i7,RTX 2070,,512 GB NVMe SSD
"ASUS VivoBook K570ZD Laptop, 15.6"" FHD IPS-level, AMD Quad Core Ryzen 5 2500U up to 3.6 GHz, GeForce GTX 1050 Graphics, 8 GB DDR4 RAM, 256 GB PCIe SSD, Wi-Fi 5, Fingerprint, Backlit KB",599.0,ASUS,Rating + 5,4,Free Shipping,,0,"15.6""",R4,GTX 1050,,256 GB PCIe SSD
"ASUS TUF Gaming Laptop, 15.6"" Full HD IPS-Type, AMD Ryzen 5 R5-3550H, GeForce GTX 1660 Ti, 8 GB DDR4, 512 GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DU-MB53",899.0,ASUS,Rating + 4,4,Free Shipping,,0,"15.6""",R5,GTX 1660,,512 GB PCIe SSD
"MSI GS Series GS65 Stealth-007 15.6"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-bit Gaming Laptop",1899.0,MSI,Rating + 3,4,Special Shipping,30%,0,"15.6""",i7,RTX 2060,,256 GB NVMe SSD
"Lenovo Legion Y545 PG0, 15.6""LED backlit FHD IPS AntiGlare 1920x1080, GTX 1650 4GB GDDR5, Intel Core i7-9750H Processor, 16.0GB PC4-21300 DDR4 SODIMM SODIMM 2666MHz RAM, 256GB SSD PCIe+1TB 7200 rpm",1249.0,Lenovo,Rating + 5,4,Free Shipping,11%,0,"15.6""",R5,GTX 1650,,256GB SSD
"DELL  i7577-5265BLK 15.6"" FHD IPS GTX 1060 6 GB VRAM i5-7300HQ 8 GB Memory 256 GB SSD Windows 10 Home VR Ready Gaming Laptop",730.0,DELL,Rating + 5,4,Free Shipping,,0,"15.6""",i7,GTX 1060,,256 GB SSD
"Acer Predator Helios 300 PH315-51-74V4 15.6"" 144 Hz FHD IPS GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",1289.0,Acer America,Rating + 4,4,Special Shipping,,0,"15.6""",i7,GTX 1060,1 TB HDD,256 GB SSD
"ASUS ROG Strix III Hero G731GV-DB74 17.3"" 144 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",1725.0,ASUS,Rating + 5,4,$16.99 Shipping,,0,"17.3""",i7,RTX 2060,,512 GB PCIe SSD
"Acer Predator Triton 500 PT515-51-75L8 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",2499.0,Acer America,Rating + 4,4,Free Shipping,,0,"15.6""",i7,RTX 2080,,512 GB SSD
"Razer Blade Pro RZ09-02202E75-R3U1 17.3"" FHD GTX 1060 6 GB VRAM i7-7700HQ 16 GB Memory 2 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",2129.0,RAZER,Rating + 3,4,Special Shipping,,0,"17.3""",R3,GTX 1060,2 TB HDD,256 GB SSD
"Lenovo Legion Y530 81FV0001US Gaming Notebooks, 15.6"" FHD IPS, Intel Core i7 8th Gen 8750H (2.20 GHz), NVIDIA GeForce GTX 1050 Ti, 8 GB DDR4 2666 MHz Memory, 1 TB HDD, Windows 10 Home 64-Bit",999.0,Lenovo,Rating + 4,4,Free Shipping,23%,0,"15.6""",i7,GTX 1050,1 TB HDD,
"DELL G3579-5467BLK-PUS 15.6"" Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 1 TB SSHD (8 GB Cache) Windows 10 Home 64-Bit Gaming Laptop",609.0,DELL,Rating + 3,4,Free Shipping,24%,0,"15.6""",i5,GTX 1050,,
"Acer Predator Helios 300 PH315-51-757A 15.6"" 144 Hz IPS GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 256 GB SSD Windows 10 Home Gaming Laptop",1299.0,Acer America,Rating + 4,4,Free Shipping,,0,"15.6""",i7,GTX 1060,,256 GB SSD
"HP Omen 15-dc0030nr 15.6"" FHD IPS GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 1 TB HDD + 128 GB SSD Windows 10 Home Gaming Laptop",1294.0,HP,Rating + 5,4,Free Shipping,,0,"15.6""",i7,GTX 1060,1 TB HDD,128 GB SSD
HP Pavilion 15t Touch Gaming Laptop - Intel Core i7-6700HQ Quad Core Windows 10 Home 4GB GDDR5 NVIDIA GeForce GTX 960M 15.6” Full HD IPS Touchscreen Display 256GB PCIe NVMe SSD 16GB DDR4 RAM,1121.0,HP,Rating + 3,4,Special Shipping,16%,1,15.6”,i7,GTX 960,,
"Acer Predator 15 G9-593-73N6 15.6"" Full HD G-SYNC GeForce GTX 1060 6GB VRAM i7-7700HQ 16GB Memory 1TB HDD + 256GB SSD Windows 10 Home VR Ready Gaming Laptop",1794.0,Acer America,Rating + 5,4,$22.99 Shipping,,0,"15.6""",i7,GTX 1060,1TB HDD,256GB SSD
"Refurbished: Acer Nitro 5 AN515-51-504A 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",649.0,Acer America,Rating + 3,4,Free Shipping,28%,0,"15.6""",i5,GTX 1050,,256 GB SSD
"MSI GL Series GL65 9SC-004 15.6"" Intel Core i5 9th Gen 9300H (2.40 GHz) NVIDIA GeForce GTX 1650 8 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",699.0,MSI,Rating + 5,3,Free Shipping,13%,0,"15.6""",i5,GTX 1650,,512 GB NVMe SSD
"MSI GF Series GF75 THIN 9SC-027 17.3"" 60 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1650 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1099.0,MSI,Rating + 5,3,Free Shipping,8%,0,"17.3""",i7,GTX 1650,,512 GB NVMe SSD
"ASUS ROG Strix Scar III  G531GV-DB76 15.6"" 240 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 1 TB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",1765.0,ASUS,Rating + 4,3,Free Shipping,,0,"15.6""",i7,RTX 2060,,1 TB PCIe SSD
"GIGABYTE AERO 17 WA-7US1130SO 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1999.0,GIGABYTE,Rating + 5,3,Free Shipping,,0,"17.3""",i7,RTX 2060,,512 GB SSD
Eluktronics N950KP6 Gamer Ready Barebone Build Your Own (BYO) Laptop - 7th Gen LGA 1151 Desktop CPU Support 6GB GDDR5 NVIDIA GeForce GTX 1060 Graphics Card 15.6” 72% NTSC Full HD IPS RGB Backlit Keys,699.0,Eluktronics,Rating + 4,3,Special Shipping,13%,0,15.6”,R5,GTX 1060,,
"Acer Predator Triton 500 PT515-51-7746 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1959.0,Acer America,Rating + 3,3,Free Shipping,,0,"15.6""",i7,RTX 2070,,512 GB SSD
"Refurbished: Acer Predator Helios 500 PH517-61-R0GX 17.3"" 144 Hz IPS AMD Ryzen 7 2nd Gen 2700 (3.20 GHz) AMD Radeon RX Vega 56 16 GB Memory 256 GB SSD Windows 10 Home 64-bit Grade A Gaming Laptop",1299.0,Acer America,Rating + 4,3,Free Shipping,35%,0,"17.3""",R0,,,256 GB SSD
"ASUS ROG Strix SCAR II Gaming Laptop, 17.3” 144Hz IPS-Type FHD, NVIDIA GeForce RTX 2070 8GB, Intel Core i7-8750H CPU, 16GB DDR4 RAM, 512GB PCIe SSD + 1TB SSHD, RGB KB, Windows 10 - GL704GW-DS76",2093.0,ASUS,Rating + 5,3,Free Shipping,5%,0,17.3”,i7,RTX 2070,,512GB PCIe SSD
"ASUS ROG G703GX Desktop Replacement Gaming Laptop, GeForce RTX 2080, 17.3” FHD 144Hz G-SYNC, Intel Core i9-8950HK CPU, 32GB DDR4, 1.5TB PCIe SSD (RAID 0), Per-Key RGB, Windows 10 Pro - G703GX-XS98K",3999.0,ASUS,Rating + 4,3,Special Shipping,23%,0,17.3”,i9,RTX 2080,,5TB PCIe SSD
AERO 15 SA-7US2130SH FHD 240 Hz i7-9750H NVIDIA GeForce GTX 1660 Ti 6 GB GDDR6 16 GB RAM 512 GB M.2 PCIe SSD Win 10 Gaming Laptop,1810.0,GIGABYTE,Rating + 5,3,Free Shipping,5%,0,,i7,GTX 1660,,
"MSI GE75 8SF-097CA Raider 17.3"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",2249.0,MSI,Rating + 5,3,Free Shipping,,0,"17.3""",i7,RTX 2070,1 TB HDD,512 GB NVMe SSD
"ASUS VivoBook Pro 17 Thin and Portable Laptop, 17.3"" Full HD, Intel Core i7-8565U, NVIDIA GeForce GTX 1050, 16 GB RAM, 1 TB HDD + 256 GB SSD, 802.11ac WiFi, USB-C, Backlit KB, Windows 10 - N705FD-ES76",1169.0,ASUS,Rating + 3,3,Free Shipping,,0,"17.3""",i7,GTX 1050,1 TB HDD,256 GB SSD
"Acer Predator Helios 300 PH317-52-77A4 17.3"" 144Hz FHD IPS GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",1399.0,Acer America,Rating + 2,3,Free Shipping,,0,"17.3""",i7,GTX 1060,1 TB HDD,256 GB SSD
"ASUS VivoBook Pro Performance Laptop, Intel Core i7-8750H, GTX 1050 4 GB, 16 GB DDR4, 512 GB M.2 SSD, 15.6"" 4K Ultra HD WideView Touch Display, Fingerprint Sensor, N580GD-XB76T",1729.0,ASUS,Rating + 2,3,Free Shipping,,1,"15.6""",i7,GTX 1050,,
"Used - Very Good: DELL G3579-7009BLK 15.6"" IPS FHD GTX 1050 Ti 4 GB VRAM i7-8750H 16 GB Memory 512 GB SSD Windows 10 Home Gaming Laptop",,DELL,Rating + 4,3,Free Shipping,,0,"15.6""",i7,GTX 1050,,512 GB SSD
"ASUS FX53VD-MS72 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB M.2 SATA SSD Windows 10 Home 64-Bit Gaming Laptop",919.0,ASUS,Rating + 4,3,Free Shipping,8%,0,"15.6""",i7,GTX 1050,,
"ASUS ROG GL504GS-DS74 Strix SCAR II Gaming Laptop, 15.6"" 144 Hz IPS-Type Slim Bezel Display, GTX 1070 8 GB, Intel Core i7-8750H Processor (up to 3.9 GHz), 256 GB PCIe SSD + 1 TB SSHD, 16 GB DDR4",1503.0,ASUS,Rating + 4,3,Free Shipping,,0,"15.6""",i7,GTX 1070,,256 GB PCIe SSD
"DELL i7577-5258BLK-PUS 15.6"" FHD IPS GTX 1060 6 GB VRAM i5-7300HQ 8 GB Memory 1 TB HDD + 128 GB SSD Windows 10 Home VR Ready Gaming Laptop",949.0,DELL,Rating + 3,3,$5.58 Shipping,,0,"15.6""",i7,GTX 1060,1 TB HDD,128 GB SSD
"ASUS GL531GW-PB74 15.6"" 120 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",2013.0,ASUS,Rating + 4,3,$26.95 Shipping,26%,0,"15.6""",i7,RTX 2070,,512 GB PCIe SSD
"Alienware 17 R5 AW17R5-7092SLV 17.3"" IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 8 GB SSD 1 TB SSHD Windows 10 Home 64-Bit Gaming Laptop",1907.0,DELL,Rating + 3,3,Free Shipping,,0,"17.3""",R5,GTX 1070,,8 GB SSD
"Lenovo Legion Y7000 (81LD0006US) 15.6"" IPS Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 128 GB PCIe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",959.0,Lenovo,Rating + 2,3,Free Shipping,,0,"15.6""",i5,GTX 1050,1 TB HDD,128 GB PCIe SSD
"Refurbished: Acer Aspire 7 A717-72G-76V1 17.3"" IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Grade A Gaming Laptop",979.0,Acer America,Rating + 4,3,Free Shipping,25%,0,"17.3""",i7,GTX 1060,1 TB HDD,256 GB SSD
Refurbished: Samsung Odyssey NP800G5H-XS1US i7-7700HQ 16GB 1TB 128GB SSD 15.6in GTX 1060 6GB,814.0,SAMSUNG,Rating + 3,3,Free Shipping,,0,,i7,GTX 1060,,128GB SSD
"ASUS TUF Gaming Laptop, 15.6"" FHD IPS-Type, AMD Ryzen 7 R7-3750H, GeForce RTX 2060, 16 GB DDR4, 512 GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DV-PB74",1199.0,ASUS,Rating + 5,2,Free Shipping,,0,"15.6""",R7,RTX 2060,,512 GB PCIe SSD
"Acer Predator Triton 700 PT715-51-761M 15.6"" IPS GTX 1060 6 GB VRAM i7-7700HQ 16 GB Memory 512 GB SSD Windows 10 Home Gaming Laptop",1399.0,Acer America,Rating + 5,2,Free Shipping,30%,0,"15.6""",i7,GTX 1060,,512 GB SSD
"MSI GE Series GE65 Raider-049 15.6"" 240 Hz Intel Core i9 9th Gen 9880H (2.30 GHz) NVIDIA GeForce RTX 2070 32 GB Memory 1 TB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",2699.0,MSI,Rating + 5,2,Free Shipping,,0,"15.6""",i9,RTX 2070,,1 TB NVMe SSD
"MSI GL Series GL75 9SDK-063 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1199.0,MSI,Rating + 4,2,Free Shipping,8%,0,"17.3""",i7,GTX 1660,,512 GB NVMe SSD
"MSI GT Series GT76 TITAN DT-039 17.3"" 4K/UHD IPS Intel Core i9 9th Gen 9900K (3.60 GHz) NVIDIA GeForce RTX 2080 64 GB Memory 1 TB SSD 1 TB HDD Windows 10 Pro 64-bit Gaming Laptop",4599.0,MSI,Rating + 5,2,Special Shipping,23%,0,"17.3""",i9,RTX 2080,1 TB HDD,1 TB SSD
"Acer Predator Helios 300 PH317-53-7777 Gaming Notebooks - 17.3"" FHD 144 Hz IPS, Intel Core i7-9750H 2.60 GHz, NVIDIA GeForce GTX 1660 Ti, 16 GB DDR4 Memory, 512 GB SSD, Windows 10 Home",1509.0,Acer America,Rating + 5,2,Free Shipping,,0,"17.3""",i7,GTX 1660,,512 GB SSD
Alienware AW17R5-7108SLV 17.3'' FHD IPS GTX 1060 6 GB VRAM i7-8750H 8 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop,1399.0,DELL,Rating + 5,2,Free Shipping,22%,0,,R5,GTX 1060,1 TB HDD,256 GB SSD
"Acer Predator Helios 300 PH315-52-72EV 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1599.0,Acer America,Rating + 4,2,Free Shipping,,0,"15.6""",i7,RTX 2060,,512 GB SSD
"HIDevolution MSI GT76 Titan DT 9SF 17.3” FHD 240Hz | 3.6 GHz i7-9700K, RTX 2070, 16GB 2666MHz RAM, 512GB PCIe SSD + 1TB HDD | Authorized Performance Upgrades & Warranty",2571.0,MSI,Rating + 5,2,Special Shipping,,0,17.3”,i7,RTX 2070,1TB HDD,512GB PCIe SSD
"ASUS ROG Strix Hero III (2019) Gaming Laptop, 17.3"" 144 Hz IPS Type FHD, GeForce RTX 2070, Intel Core i7-9750H, 16 GB DDR4, 512 GB PCIe SSD + 1 TB FireCuda, Per-Key RGB KB, Win10 Home, G731GW-DB76",2199.0,ASUS,Rating + 5,2,Special Shipping,23%,0,"17.3""",i7,RTX 2070,,512 GB PCIe SSD
"AORUS 5 NA-7US1121SH i7-9750H NVIDIA GeForce GTX 1650 4 GB GDDR5 16 GB Memory 256 GB Intel SSD 1 TB HDD Win10 15.6"" LG FHD 144 Hz Gaming Laptop",1049.0,AORUS,Rating + 5,2,Free Shipping,25%,0,"15.6""",i7,GTX 1650,1 TB HDD,
"Lenovo 720s 81CR0006US 15.6"" 4K/UHD IPS GTX 1050 Ti 4 GB VRAM i7-7700HQ 16 GB Memory 512 GB SSD Windows 10 Pro Gaming Laptop",989.0,Lenovo,Rating + 4,2,Free Shipping,42%,0,"15.6""",R0,GTX 1050,,512 GB SSD
"Acer Predator Triton 500 PT515-51-71VV 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1799.0,Acer America,Rating + 5,2,Free Shipping,,0,"15.6""",i7,RTX 2060,,512 GB SSD
"HIDevolution ASUS ROG Zephyrus S GX531GW 15.6"" FHD 144Hz Gaming Laptop | 2.2 GHz i7-8750H, RTX 2070 Max-Q, 16GB 2666MHz RAM, PCIe 512GB SSD | Authorized Performance Upgrades & Warranty",2299.0,ASUS,Rating + 3,2,Special Shipping,,0,"15.6""",i7,RTX 2070,,512GB SSD
"HIDevolution ASUS ROG Strix GL503GE Scar Edition 15.6” FHD 120Hz Gaming Laptop | 2.2 GHz i7-8750H, GTX 1050TI, 8GB DDR4/2666MHz RAM, 1TB SSHD | Authorized Performance Upgrades & Warranty",1099.0,ASUS,Rating + 5,2,Free Shipping,,0,15.6”,i7,GTX 1050,,
"HIDevolution MSI GE73 Raider RGB 8RE 17.3” FHD 120Hz Gaming Laptop | 2.6 GHz i7-8750H, GTX 1060, 16GB DDR4/2400MHz RAM, SATA 256GB SSD + 1TB HDD | Authorized Performance Upgrades & Warranty",1749.0,MSI,Rating + 5,2,Free Shipping,,0,17.3”,i7,GTX 1060,1TB HDD,256GB SSD
"Refurbished: Acer AN515-53-55G9 15.6"" IPS Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop (Manufacturer Recertified)",699.0,Acer America,Rating + 5,2,Free Shipping,,0,"15.6""",i5,GTX 1050,,256 GB SSD
Eluktronics N950KP6 Premium VR Ready Gaming Laptop - Intel G4560 Dual Core Desktop CPU 6GB GDDR5 NVIDIA GeForce 1060 GPU 15.6” 72% NTSC Full HD IPS RGB Backlit Keys 1TB 7200RPM Hard Drive + 8GB RAM,917.0,Eluktronics,Rating + 4,2,Special Shipping,34%,0,15.6”,R5,,,
"HP Pavilion Gaming 15-cx0020nr 15.6"" FHD IPS GTX 1050 Ti 4 GB VRAM i5-8300H 8 GB Memory 16 GB Optane Memory 1 TB HDD Windows 10 Home Gaming Laptop",759.0,HP,Rating + 3,2,Free Shipping,,0,"15.6""",i5,GTX 1050,1 TB HDD,
"Acer Predator Helios 500 PH517-51-79E8 17.3"" IPS FHD 144 Hz G-Sync, Intel Core i7 8750H (2.20 GHz), NVIDIA GeForce GTX 1070, 16 GB DDR4 Memory, 512 GB SSD + 1 TB HDD, Windows 10 Home",2064.0,Acer America,Rating + 5,2,Special Shipping,,0,"17.3""",i7,GTX 1070,1 TB HDD,512 GB SSD
"Acer Nitro 5 AN515-53-762Q 15.6"" IPS FHD, Intel Core i7 8750H (2.20 GHz), NVIDIA GeForce GTX 1050, 8 GB DDR4 Memory, 1 TB HDD, Windows 10 Home",1174.0,Acer America,Rating + 3,2,$10.99 Shipping,,0,"15.6""",i7,GTX 1050,1 TB HDD,
"Dell Inspiron 15 Premium Gaming and Business Laptop (7th Gen Intel Core i5 Quad Core, 8GB RAM, 1TB HDD + 128GB SSD, 15.6 Inch Ful HD 1920 x 1080 Display, NVIDIA GTX 1060 6GB, Win 10 Home) VR Ready",949.0,DELL,Rating + 4,2,Special Shipping,23%,0,,i5,GTX 1060,1TB HDD,128GB SSD
"Refurbished: Lenovo Y50 15.6” 4K UHD Gaming Laptop with Quad Core Intel Core i7 4700HQ 2.40GHz (3.40Ghz Turbo), 16GB Memory, 256GB SSD, NVIDIA GeForce GTX 860M 2GB, Windows 8.1 64-Bit",1021.0,Lenovo,Rating + 3,2,Free Shipping,,0,15.6”,i7,GTX 860,,256GB SSD
"MSI GE Series GE63 8RF-099CA Raider RGB 15.6"" Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB NVMe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",2439.0,MSI,Rating + 5,2,$10.99 Shipping,,0,"15.6""",i7,GTX 1070,1 TB HDD,256 GB NVMe SSD
"HP Pavilion 15-cx0010ca 15.6"" Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Bilingual Gaming Laptop",1007.0,HP,Rating + 5,2,$11.99 Shipping,,0,"15.6""",i5,GTX 1050,1 TB HDD,
"MSI GT Series GT63 TITAN-032 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2080 16 GB Memory 256 GB NVMe SSD 1 TB HDD Windows 10 Pro 64-bit Gaming Laptop",3846.0,MSI,Rating + 5,2,Free Shipping,25%,0,"15.6""",i7,RTX 2080,1 TB HDD,256 GB NVMe SSD
"ASUS VivoBook Pro 15, 15.6"" Full HD IPS Level Display, Intel Core i7-8750H, NVIDIA GTX 1050 4 GB, 8 GB DDR4 + 16 GB Intel Optane Memory, 1 TB HDD Optane Enhanced, Fingerprint, N580GD-DB74",1118.0,ASUS,Rating + 1,2,Free Shipping,,0,"15.6""",i7,GTX 1050,1 TB HDD,
Eluktronics MB-15 Thin & Light Business Laptop with Glass Touchpad - Intel i5-8300H CPU 2GB GDDR5 NVIDIA GeForce 1050 GPU 15.6” 72% NTSC Full HD IPS-Type 128GB PCIe SSD 8GB RAM,1070.0,Eluktronics,Rating + 5,2,Special Shipping,11%,1,15.6”,i5,,,128GB PCIe SSD
"ASUS ROG Strix GL531GT-EB76 15.6"" 60 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1650 16 GB Memory 1 TB PCIe SSD Windows 10 Home 64-bit Gaming Laptop",1299.0,ASUS,Rating + 5,2,$26.95 Shipping,26%,0,"15.6""",i7,GTX 1650,,1 TB PCIe SSD
"Lenovo 81FK0000US 15.6"" FHD GTX 1050 4 GB VRAM i5-8300H 8 GB Memory 1 TB HDD Windows 10 Home Gaming Laptop",1177.0,Lenovo,Rating + 5,2,Free Shipping,,0,"15.6""",i5,GTX 1050,1 TB HDD,
"Acer Aspire 7 Premium 17.3"" Gaming and Bussiness Laptop (Intel 8th Gen Coffee Lake i7-8750H 6-core, 16GB RAM, 256GB PCIe SSD, 17.3"" FHD ( 1920x1080 ), GeForce GTX 1060, Win 10 Home) VR Ready",1199.0,Acer America,Rating + 3,2,Special Shipping,23%,0,"17.3""",i7,GTX 1060,,256GB PCIe SSD
"MSI GE63 Raider RGB-052 Premium Gaming and Business Laptop (Intel i7-8750H, 16GB RAM, 1TB HDD + 512GB Sata SSD, 15.6"" FHD 1920x1080 IPS Display, NVIDIA RTX 2070, RGB Front Cover Keyboard, Win 10 Home)",2549.0,MSI,Rating + 5,2,Special Shipping,23%,0,"15.6""",i7,RTX 2070,1TB HDD,
"Acer Nitro 7 AN715-51-70TG 15.6"" IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB SSD Windows 10 Home 64-bit Gaming Laptop",1049.0,Acer America,Rating + 5,1,Free Shipping,,0,"15.6""",i7,GTX 1050,,256 GB SSD
